# ======================================================================
# Aggregated IP/Proxy Addresses
# Generated: 2026-01-01 12:35:56 UTC
# Total: 1616 | Valid: 763 | Untested: 0
# ======================================================================
# Format: ADDRESS | STATUS | LATENCY | TYPE | LOCATION | ISP
# ======================================================================

8.222.255.80:80        | ✓ | 216ms   | -    | -               | -
15.204.196.219:443     | ✗ | -       | -    | 通用              | -
18.169.247.230:443     | ✓ | 96ms    | -    | 通用              | -
18.253.112.174:443     | ✓ | 10ms    | -    | 通用              | -
20.87.14.208:443       | ✓ | 237ms   | -    | 通用              | -
20.89.45.135:443       | ✓ | 146ms   | -    | 通用              | -
20.94.247.224:443      | ✓ | 47ms    | -    | 通用              | -
20.103.207.25:443      | ✓ | 96ms    | -    | 通用              | -
20.112.94.127:443      | ✓ | 51ms    | -    | 通用              | -
20.192.2.50:443        | ✓ | 215ms   | -    | 通用              | -
20.235.36.161:443      | ✗ | -       | -    | 通用              | -
20.235.106.55:443      | ✓ | 215ms   | -    | 通用              | -
27.150.23.190:1080     | ✓ | 2317ms  | -    | 中国              | -
27.156.5.223:1080      | ✓ | 1277ms  | -    | 中国              | -
27.156.14.166:1080     | ✓ | 255ms   | -    | 中国              | -
31.31.78.117:443       | ✓ | 116ms   | -    | 通用              | -
31.46.42.248:443       | ✓ | 117ms   | -    | 通用              | -
34.23.182.38:443       | ✗ | -       | -    | 通用              | -
34.73.93.176:443       | ✗ | -       | -    | 通用              | -
34.73.127.72:443       | ✓ | 28ms    | -    | 通用              | -
34.74.83.195:443       | ✓ | 28ms    | -    | 通用              | -
34.74.107.33:443       | ✗ | -       | -    | 通用              | -
34.74.205.117:443      | ✓ | 28ms    | -    | 通用              | -
34.75.149.113:443      | ✗ | -       | -    | 通用              | -
34.93.13.41:443        | ✓ | 218ms   | -    | 通用              | -
34.93.103.38:443       | ✓ | 219ms   | -    | 通用              | -
35.139.204.210:443     | ✓ | 51ms    | -    | 通用              | -
35.187.237.178:443     | ✓ | 213ms   | -    | 通用              | -
35.196.153.252:443     | ✓ | 28ms    | -    | 通用              | -
35.206.199.195:443     | ✓ | 172ms   | -    | 通用              | -
35.212.100.37:443      | ✓ | 18ms    | -    | 通用              | -
35.229.87.215:443      | ✓ | 28ms    | -    | 通用              | -
35.247.136.78:443      | ✓ | 213ms   | -    | 通用              | -
36.26.78.226:1080      | ✗ | -       | -    | 中国              | -
37.187.21.44:443       | ✓ | 99ms    | -    | 通用              | -
38.34.175.99:10000     | ✗ | -       | -    | 美国              | -
38.34.175.109:10000    | ✗ | -       | -    | 美国              | -
38.47.98.139:58367     | ✓ | 150ms   | 机房   | 日本 大阪市          | VMISS Inc.
38.47.110.194:58367    | ✓ | 150ms   | 机房   | 日本 大阪市          | VMISS Inc.
38.210.76.102:443      | ✗ | -       | -    | 通用              | -
39.105.191.39:443      | ✓ | 249ms   | -    | 通用              | -
40.65.182.224:443      | ✓ | 210ms   | -    | 通用              | -
40.142.93.231:443      | ✗ | -       | -    | 通用              | -
40.143.49.96:443       | ✗ | -       | -    | 通用              | -
41.205.129.179:443     | ✓ | 244ms   | -    | 通用              | -
42.96.56.83:443        | ✓ | 227ms   | -    | 通用              | -
42.192.173.202:20000   | ✗ | -       | -    | 韩国              | -
43.131.249.38:5555     | ✗ | -       | -    | 韩国              | -
43.133.237.134:1080    | ✗ | -       | -    | 韩国              | -
43.135.147.159:1080    | ✗ | -       | -    | 韩国              | -
43.153.64.167:1080     | ✗ | -       | -    | 韩国              | -
43.154.126.50:5555     | ✗ | -       | -    | 韩国              | -
43.155.155.32:1080     | ✗ | -       | -    | 韩国              | -
43.155.161.184:1080    | ✗ | -       | -    | 韩国              | -
43.155.164.102:1080    | ✗ | -       | -    | 韩国              | -
