address,ip,port,is_valid,latency_ms,net_type,net_type_en,country,region,city,isp,location,source,category,validation_error
8.218.141.182:1080,8.218.141.182,1080,True,152.33,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.150.171:5555,8.218.150.171,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.158.25:1080,8.218.158.25,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.159.70:1080,8.218.159.70,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.189.67:1080,8.218.189.67,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.189.76:1080,8.218.189.76,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.197.154:5555,8.218.197.154,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.200.68:5555,8.218.200.68,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.225.148:1080,8.218.225.148,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.218.227.143:1080,8.218.227.143,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.218.228.52:1080,8.218.228.52,1080,True,151.91,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.228.65:8888,8.218.228.65,8888,True,158.89,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.229.51:1080,8.218.229.51,1080,True,153.23,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.231.46:5555,8.218.231.46,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.233.13:1080,8.218.233.13,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.236.144:1080,8.218.236.144,1080,True,158.12,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.236.158:1080,8.218.236.158,1080,True,146.62,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.242.136:1080,8.218.242.136,1080,True,159.16,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.242.151:1080,8.218.242.151,1080,True,152.76,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.248.34:1080,8.218.248.34,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.248.86:1080,8.218.248.86,1080,True,146.77,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.253.187:1080,8.218.253.187,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.219.77.141:443,8.219.77.141,443,True,172.23,,unknown,,,,,,bestproxy,proxy,
8.220.177.54:1080,8.220.177.54,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.193.226:8888,8.220.193.226,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.194.5:1080,8.220.194.5,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.194.84:1080,8.220.194.84,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.195.170:1080,8.220.195.170,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.198.7:1080,8.220.198.7,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.201.22:1080,8.220.201.22,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.201.104:1080,8.220.201.104,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.202.188:8888,8.220.202.188,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.203.54:1080,8.220.203.54,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.205.221:8888,8.220.205.221,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.206.85:1080,8.220.206.85,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.208.95:1080,8.220.208.95,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.209.201:8888,8.220.209.201,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.213.135:8888,8.220.213.135,8888,True,136.4,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.220.215.191:1080,8.220.215.191,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.223.91:1080,8.220.223.91,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.242.208:1080,8.220.242.208,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.220.243.145:1080,8.220.243.145,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.246.249:8888,8.220.246.249,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.220.247.209:8888,8.220.247.209,8888,True,131.7,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.222.180.85:1080,8.222.180.85,1080,True,172.69,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
14.155.145.222:1080,14.155.145.222,1080,True,1227.1,,unknown,,,,,,socks5-proxy,socks5,
15.204.196.219:443,15.204.196.219,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
16.170.136.118:1080,16.170.136.118,1080,True,164.91,,unknown,,,,,,socks5-proxy,socks5,
18.169.247.230:443,18.169.247.230,443,True,140.34,,unknown,通用,,,,通用,results,local-general,
18.253.112.174:443,18.253.112.174,443,True,59.69,,unknown,通用,,,,通用,results,local-general,
20.87.14.208:443,20.87.14.208,443,True,275.32,,unknown,通用,,,,通用,results,local-general,
20.89.45.135:443,20.89.45.135,443,True,105.13,,unknown,通用,,,,通用,results,local-general,
20.94.247.224:443,20.94.247.224,443,True,22.59,,unknown,通用,,,,通用,results,local-general,
20.103.207.25:443,20.103.207.25,443,True,145.08,,unknown,通用,,,,通用,results,local-general,
20.112.94.127:443,20.112.94.127,443,True,25.41,,unknown,通用,,,,通用,results,local-general,
20.192.2.50:443,20.192.2.50,443,True,221.39,,unknown,通用,,,,通用,results,local-general,
20.235.36.161:443,20.235.36.161,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
20.235.106.55:443,20.235.106.55,443,True,224.28,,unknown,通用,,,,通用,results,local-general,
23.19.231.152:50161,23.19.231.152,50161,True,11.41,,unknown,,,,,,socks5-proxy,socks5,
23.148.28.72:50161,23.148.28.72,50161,True,147.49,,unknown,,,,,,socks5-proxy,socks5,
27.150.23.190:1080,27.150.23.190,1080,True,183.6,,unknown,中国,,,,中国,ResultsCN,local-CN,
27.156.5.223:1080,27.156.5.223,1080,False,,,unknown,中国,,,,中国,ResultsCN,local-CN,Timeout
27.156.14.166:1080,27.156.14.166,1080,False,,,unknown,中国,,,,中国,ResultsCN,local-CN,Timeout
